Symbol,Quantity,Price,Transaction,Variety,Product,Order_Type,Rank,Allocation,TargetValue,Rationale
SAIL,687,152.94,BUY,regular,CNC,LIMIT,Top25,100000,99918.19,Q3FY26 PAT -25% YoY (₹300 Cr vs ₹399 Cr) as steel demand softened; long-term revival tied to capex
JKTYRE,249,424.5,BUY,regular,CNC,LIMIT,Top25,100000,99849.00,CV/two-wheeler tire volumes under pressure; expect recovery with auto demand. Held for turnaround potential
ASHOKLEY,585,179.24,BUY,regular,CNC,LIMIT,Top25,100000,99916.50,"Q3 PAT down ~53% YoY (₹203 Cr vs ₹431 Cr) due to one-offs【33†L440-L447】; demand weak, but order book strong"
PNCINFRA,530,191.29,BUY,regular,CNC,LIMIT,Top25,100000,100848.90,"Wind-power developer; Q3 subdued, but healthy O&M backlog. Yield pick as a PSU project stock"
GPPL,665,154.32,BUY,regular,CNC,LIMIT,Top25,100000,99850.45,"Gujarat PSU gas pipeline co. Steady business; pays decent dividends. Modest growth, safe play"
AEGISLOG,169,616.7,BUY,regular,CNC,LIMIT,Top25,100000,99676.20,Q3 revenue flat; long-term operator of chemical terminals/CCFL. Niche logistics play with high ROE
WELSPUNLIV,904,113.9,BUY,regular,CNC,LIMIT,Top25,100000,99964.32,Rooms & Textiles co. Q3 beat estimates but industry weak. High leverage; speculative turnaround bet
LTFOODS,266,398.4,BUY,regular,CNC,LIMIT,Top25,100000,99962.80,"Market leader in basmati rice. Q3 saw margin pressure, but edible oil/RTR growth provides stability"
BERGEPAINT,252,416.75,BUY,regular,CNC,LIMIT,Top25,100000,99678.60,Q3 paint demand muted; PAT down. Long-term leader in paint sector. Held as thematic play
NCLIND,591,176.16,BUY,regular,CNC,LIMIT,Top25,100000,99879.00,Cement co. with tight supply. Volatile commodity sector; use cautiously for dividend
GIPCL,770,132.8,BUY,regular,CNC,LIMIT,Top25,100000,99976.80,"Gas and power PSU; steady cash flows. Modest P/E, utility yield stock"
NAVKARCORP,1183,85,BUY,regular,CNC,LIMIT,Top25,100000,99998.99,Port logistics co. Booming EXIM volumes. PAT volatile but long-term growth visible
MOREPENLAB,2688,38.7,BUY,regular,CNC,LIMIT,Top25,100000,99993.60,"Generic pharma; stocks at 52-week low, improving margins. High risk/reward on turnaround execution"
ALEMBICLTD,1274,80.43,BUY,regular,CNC,LIMIT,Top25,100000,99932.56,API and formulations. Growth slowed by base. Valuation high; watch US business recovery
SUZLON,2437,41.45,BUY,regular,CNC,LIMIT,Top25,100000,99965.74,Wind turbine co. (near-bankrupt). Extremely high risk; held only for multi-bagger hope if turnaround
SJVN,1427,69.92,BUY,regular,CNC,LIMIT,Top25,100000,99989.89,"Hydro power PSU. Q3 PAT steady ~₹500+ Cr; modest growth. High dividend yield, government backing"
NHPC,1333,77.23,BUY,regular,CNC,LIMIT,Top25,100000,99948.34,Another hydro PSU. Stable cash flows; growth limited. Good dividend (~7%)
ATULAUTO,249,423.8,BUY,regular,CNC,LIMIT,Top25,100000,99861.45,Three-wheeler/EV co. Q3 growth paused; strong balance sheet. Valuation high at 60x EPS
AKZOINDIA,35,2927.2,BUY,regular,CNC,LIMIT,Top25,100000,99239.00,"Agent for AkzoNobel paints. Small volume; earnings volatile. High margin, but niche exposure"
